1,我想跟马云肩并肩,:浦东新区 东明路双南两房一厅#浦东租房[超话]##上海租房[超话]##世博园##上海·上南地区[地点]# 我想跟马云肩并肩的秒拍视频 ,今天,0,0,0,3,https://weibo.com/u/5902583441
2,11组白日梦想家,:准备在上海闵行颛桥附近整租一套两室户，预算4000-4500，想在此寻一室友共同承租，本人从事机械贸易方面工作，朝九晚五式，平时自己一个人住，如果你也正好和我有同样的需求，欢迎骚扰[嘻嘻][嘻嘻] #上海租房找室友[超话]##上海合租找室友[超话]##上海合租找室友##上海租房找室友# ,今天,0,1,0,0,https://weibo.com/u/2289334630
3,叶运芯Miro,:#上海租房##上海租房[超话]##上海租房菌# 求短租3个月的房子 离南京西路广电大厦30min之内可以到的 月租金4000以内 ,今天,0,1,0,0,https://weibo.com/u/2738970945
4,介唔,:#豆瓣上海租房[超话]##上海租房[超话]# 找室友！！！[皱眉]二室一厅一厨一卫肇嘉浜路地铁站装修特别好 干净敞亮7.9号线现在北卧空出招募舍友中，详情如图 ,今天 20:07,0,0,0,3,https://weibo.com/u/2743661455
5,派大静兮,:近世纪大道地铁站(2/4/6/9号线)潍坊七村朝南次卧出租，招一90后妹子做室友，详情见图，有意向的小姐姐快来联系我吧#上海合租##上海租房[超话]##豆瓣上海租房##上海租房# ,今天 20:03,0,0,0,0,https://weibo.com/u/2949454691
6,派大静兮,:近世纪大道地铁站(2/4/6/9号线)潍坊七村朝南次卧出租，招一90后妹子做室友，详情见图，有意向的小姐姐快来联系我吧#上海租房##上海租房无中介##豆瓣上海租房##上海合租找室友# ,今天 19:57,0,0,0,1,https://weibo.com/u/2949454691
7,米MI_团子,:唐镇【齐友佳苑】朝南次卧1600出租～因为室友要搬走，空出一间朝南次卧。光线超级赞，小区安静，晚上路灯很亮，适合散步跑步。小区门口就是公交站，直达唐镇地铁站，大约五六分钟。骑车到地铁站十分钟左右。我和同学在这儿住两年了，希望可以找到合适的小伙伴，一起租下去～六月初可搬入，有意者可以给我留言喔～@豆瓣上海租房 @上海租房 @zuber上海租房 #上海租房[超话]#,今天,0,0,0,5,https://weibo.com/u/2938058747
8,无奈93563,:#上海租房##上海租房无中介# 2号线娄山关路地铁站300米 玉屏南路交叉口 朝南两房。一间是男生租了。一间是我住的。我是女生。房子卧室新收拾的，厨房和卫生间是老装修，但是干净。找室友共享房间，最好是可以一张床的，短租长租都好。1300一个月，看房提前联系。对位置不满意就不要联系了。室友就一个要求：事少。,今天,0,0,0,1,https://weibo.com/u/5747908601
9,茶茶丸h,:求租房  位置广兰路地铁站附近 要有厨房、独卫、两人住、预算2000[跪了][跪了]@豆瓣上海租房 @上海租房 @上海租房君 @上海租房知道 上海·环龙新纪园 ,今天,0,0,0,9,https://weibo.com/u/2688669593
10,嗨住租房,:#嗨住天天见# 今日话题：嗨住App里，下图这间徐汇区老里弄——上海文物单位“懿园”里的整租LOFT ，月租多少？（不知道的小朋友，可以下载嗨住查询一下哦~）评论参与讨论，6月7日当天转发区抽取1位，获得价值200元天猫精灵方糖智能音箱一台 @微博抽奖平台 嗨住，更多房源更多期待~ #上海租房[超话]# #南京租房[超话]# #杭州租房[超话]# #北京租房[超话]#,今天 19:09,0,5,12,5,https://weibo.com/hizhu2015
11,啊豆豆豆豆浆,:#上海租房# 求合租 求室友～最好六月底能入住 我这边至少租半年以上本人在赵巷上班 日常坐公交上班（地铁站不方便）希望你爱干净好相处 可以一起玩也可以互相不打扰[允悲]地理位置在青浦城区 中山医院这一块最好 求小姐姐一起合租[爱心] ,今天 18:47,0,1,0,3,https://weibo.com/u/3810122762
12,Wengwengweng凌凌fang,:转租啦！房间在祁华路汇枫景苑小区，离地铁真的很近的，步行七八分钟吧，三户合租，主卧自己有洗手间和洗衣机，所以卫生间还是很舒服的。厨房公用。我是七月中旬走，房租是1300可小刀，房间一个人生活还是蛮大的。感兴趣可以私聊我，我有个房间的视频，图片后续会上来#上海租房# 上海·大场镇 ,今天,0,1,0,4,https://weibo.com/u/3465196780
13,一发领导,":#上海租房##上海租房##上海租房合租# 招室友啦，宝山区上海大学对面,距离地铁站只有两分钟路程，周围什么都很便利，别墅第三层 有独立卫浴间和一个衣帽间，空调 电视 洗衣机 一间两张床大床出租，介意勿扰,房租1500元/月，付3压1，仅限女生！！！希望作息规律，事少。周六周日或工作日晚七点左右都可以看房  ",今天 18:13,0,1,2,6,https://weibo.com/u/2608434601
14,海星租房,:#应届毕业生上海租房# 现推出无中介租房群，目前已有300+房东和租客，需要加VX:942377886 ,今天,0,0,0,0,https://weibo.com/u/6080340816
15,艺兴欧巴的迷妹儿,:#上海租房#七宝地铁站附近租房，合租，要一个女生，干净，善良，三观正就行，有意私聊，不含水电费包网费1300一个月，独立卫浴，冰箱洗衣机什么都有@上海租房     上海·水清年华臻景苑 ,今天,0,2,0,3,https://weibo.com/u/3868091915
16,小葱头干脆面,:@上海租房 @上海租房无中介联盟 求今年八月短租 8.4-8.31 静安寺附近南京西路上班 附近或者离12号线地铁站近 通勤时间一小时内 ,今天,0,0,0,0,https://weibo.com/636618234
17,夜之将至未至之时,:#上海租房[超话]#1号线莲花路站附近2000以内的房子求推荐，最好有阳台。@豆瓣上海租房 ,今天,0,0,0,1,https://weibo.com/u/3880768815
